constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
act_dir,-1,A,success_ever,299,299,1,83195,0.521769,0.521769,+,0.503351,0.507891,0.000999,0.504706,0.510025,0.000999,False
act_dir,-1,B,success_ever,221,221,79,16405,0.500764,0.500764,+,0.508157,0.520212,0.949051,0.507714,0.519495,0.931069,False
act_dir,-1,rollout_max,success_ever,221,221,79,221,0.5,0.5,+,0.504711,0.510204,1.0,0.504652,0.510417,1.0,False
act_dir,-1,rollout_mean,success_ever,221,221,79,221,0.515807,0.515807,+,0.531246,0.577692,0.69031,0.529778,0.575701,0.653347,False
act_mag,-1,A,success_ever,300,300,0,155700,0.445794,0.554206,-,0.509741,0.523156,0.000999,0.510628,0.525441,0.000999,False
act_mag,-1,B,success_ever,300,300,0,46800,0.463635,0.536365,-,0.514938,0.537659,0.05994,0.513565,0.532448,0.030969,False
act_mag,-1,rollout_max,success_ever,300,300,0,300,0.37186,0.62814,-,0.526255,0.563992,0.000999,0.525263,0.560929,0.000999,False
act_mag,-1,rollout_mean,success_ever,300,300,0,300,0.398728,0.601272,-,0.526465,0.566578,0.003996,0.523916,0.558638,0.000999,False
emb_temp,0,A,success_ever,300,300,0,155700,0.432876,0.567124,-,0.510264,0.524341,0.000999,0.510915,0.526813,0.000999,False
emb_temp,0,B,success_ever,300,300,0,46800,0.468655,0.531345,-,0.51789,0.544104,0.167832,0.518393,0.545206,0.175824,False
emb_temp,0,rollout_max,success_ever,300,300,0,300,0.392683,0.607317,-,0.526166,0.565802,0.000999,0.524419,0.558556,0.000999,False
emb_temp,0,rollout_mean,success_ever,300,300,0,300,0.438829,0.561171,-,0.526529,0.566094,0.071928,0.525456,0.562763,0.057942,False
emb_temp,1,A,success_ever,300,300,0,155700,0.428054,0.571946,-,0.510787,0.526339,0.000999,0.511819,0.528171,0.000999,False
