scheme,constraint,layer,auroc,sign,null_task_p95,margin_over_task_p95,clears_task_null,n_rollouts
rollout_mean,xl_adj,14,0.685191,+,0.577594,0.10759699999999994,True,300
rollout_max,emb_temp,29,0.678653,-,0.572755,0.10589799999999994,True,300
B,xl_adj,14,0.660323,+,0.56846,0.09186300000000003,True,300
rollout_max,xl_final,1,0.643948,-,0.56225,0.08169799999999994,True,300
rollout_max,xl_adj,30,0.641082,-,0.568987,0.07209500000000002,True,300
rollout_mean,xl_final,18,0.663965,+,0.593265,0.07069999999999999,True,300
B,xl_final,18,0.647128,+,0.578405,0.06872300000000009,True,300
rollout_max,act_mag,-1,0.62814,-,0.560929,0.06721100000000002,True,300
A,xl_adj,16,0.642733,+,0.577955,0.064778,True,300
A,emb_temp,30,0.581496,-,0.533806,0.04769000000000001,True,300
rollout_mean,act_mag,-1,0.601272,-,0.558638,0.04263400000000006,True,300
A,xl_final,10,0.589836,-,0.550929,0.038907000000000025,True,300
A,act_rep,-1,0.546847,+,0.518048,0.02879900000000002,True,300
A,act_mag,-1,0.554206,-,0.525441,0.02876499999999993,True,300
rollout_mean,emb_temp,28,0.585375,-,0.559102,0.02627299999999999,True,300
B,emb_temp,29,0.559668,-,0.545407,0.01426100000000008,True,300
rollout_mean,xl_spread,-1,0.582016,+,0.568868,0.013147999999999938,True,300
A,act_dir,-1,0.521769,+,0.510025,0.011744000000000088,True,299
B,xl_spread,-1,0.572688,+,0.562334,0.010353999999999974,True,300
B,act_mag,-1,0.536365,-,0.532448,0.003916999999999948,True,300
rollout_max,act_rep,-1,0.5,+,0.5,0.0,False,300
A,t,-1,0.5,+,0.5,0.0,False,300
B,t,-1,0.5,+,0.5,0.0,False,300
rollout_max,t,-1,0.5,+,0.5,0.0,False,300
rollout_mean,t,-1,0.5,+,0.5,0.0,False,300
A,t_norm,-1,0.5,+,0.5,0.0,False,300
B,t_norm,-1,0.5,+,0.5,0.0,False,300
rollout_max,t_norm,-1,0.5,+,0.5,0.0,False,300
rollout_mean,t_norm,-1,0.5,+,0.5,0.0,False,300
rollout_max,grip_flip,-1,0.546841,-,0.547199,-0.00035799999999996945,False,300
A,grip_flip,-1,0.502436,+,0.504735,-0.002299000000000051,False,300
B,xl_final_hN,18,0.551303,+,0.55381,-0.002507000000000037,False,300
rollout_mean,xl_final_hN,18,0.558103,+,0.5612,-0.0030970000000000164,False,300
A,xl_final_hN,9,0.519059,-,0.522378,-0.003318999999999961,False,300
B,act_rep,-1,0.526366,+,0.531041,-0.004674999999999985,False,300
B,grip_flip,-1,0.502827,-,0.509073,-0.006245999999999974,False,300
rollout_max,act_dir,-1,0.5,+,0.510417,-0.01041700000000001,False,221
rollout_mean,grip_flip,-1,0.545005,-,0.559043,-0.014037999999999995,False,300
B,act_dir,-1,0.500764,+,0.519495,-0.018731000000000053,False,221
rollout_mean,act_rep,-1,0.543236,+,0.562,-0.018764000000000003,False,300
rollout_max,xl_final_hN,15,0.532712,-,0.552474,-0.019762000000000057,False,300
A,xl_spread,-1,0.518747,+,0.541436,-0.02268900000000007,False,300
rollout_mean,act_dir,-1,0.515807,+,0.575701,-0.059894,False,221
rollout_max,xl_spread,-1,0.50674,+,0.573613,-0.06687300000000007,False,300
