scheme,constraint,layer,auroc,sign,null_task_p95,margin_over_task_p95,clears_task_null,n_rollouts
rollout_mean,xl_adj,14,0.674903,+,0.557396,0.11750700000000003,True,272
rollout_max,emb_temp,29,0.707097,-,0.590238,0.11685899999999994,True,272
B,xl_adj,16,0.687359,+,0.584702,0.102657,True,272
rollout_max,xl_final,1,0.681995,-,0.590966,0.09102900000000003,True,272
rollout_max,xl_adj,28,0.715596,-,0.633965,0.08163100000000001,True,272
A,xl_adj,16,0.628936,+,0.556523,0.07241300000000006,True,272
rollout_max,act_mag,-1,0.632887,-,0.563992,0.06889499999999993,True,272
rollout_mean,xl_final,18,0.636742,+,0.569944,0.06679800000000002,True,272
B,xl_final,18,0.624677,+,0.560042,0.064635,True,272
A,emb_temp,29,0.587931,-,0.538018,0.049912999999999985,True,272
A,xl_final,11,0.585404,-,0.539349,0.04605500000000007,True,272
A,act_mag,-1,0.5559,-,0.525537,0.030362999999999918,True,272
rollout_mean,emb_temp,28,0.593178,-,0.564206,0.028971999999999998,True,272
A,act_rep,-1,0.546687,+,0.51839,0.028297000000000017,True,272
rollout_mean,act_mag,-1,0.596865,-,0.569556,0.027309000000000028,True,272
B,emb_temp,28,0.561295,-,0.550808,0.010487000000000024,True,272
A,act_dir,-1,0.523221,+,0.512954,0.010267000000000026,True,271
A,xl_final_hN,15,0.551403,-,0.548311,0.0030919999999999837,True,272
rollout_max,act_rep,-1,0.5,+,0.5,0.0,False,272
A,t,-1,0.5,+,0.5,0.0,False,272
B,t,-1,0.5,+,0.5,0.0,False,272
rollout_max,t,-1,0.5,+,0.5,0.0,False,272
rollout_mean,t,-1,0.5,+,0.5,0.0,False,272
A,t_norm,-1,0.5,+,0.5,0.0,False,272
B,t_norm,-1,0.5,+,0.5,0.0,False,272
rollout_max,t_norm,-1,0.5,+,0.5,0.0,False,272
rollout_mean,t_norm,-1,0.5,+,0.5,0.0,False,272
A,grip_flip,-1,0.50317,+,0.505235,-0.0020649999999999835,False,272
B,act_mag,-1,0.53476,-,0.540649,-0.005889000000000033,False,272
B,grip_flip,-1,0.501612,-,0.510069,-0.008457000000000048,False,272
A,xl_spread,-1,0.526134,-,0.534863,-0.008728999999999987,False,272
rollout_max,grip_flip,-1,0.544999,-,0.554511,-0.009511999999999965,False,272
rollout_max,act_dir,-1,0.501254,+,0.513699,-0.01244500000000004,False,197
B,act_rep,-1,0.524814,+,0.539029,-0.014214999999999978,False,272
rollout_max,xl_final_hN,15,0.577475,-,0.592109,-0.014634000000000036,False,272
B,xl_spread,-1,0.535224,+,0.550442,-0.015217999999999954,False,272
B,act_dir,-1,0.502079,+,0.524728,-0.02264899999999992,False,197
B,xl_final_hN,0,0.525387,+,0.548127,-0.022739999999999982,False,272
rollout_mean,grip_flip,-1,0.538048,-,0.561817,-0.02376900000000004,False,272
rollout_mean,xl_spread,-1,0.538358,+,0.56341,-0.025051999999999963,False,272
rollout_mean,xl_final_hN,0,0.535262,+,0.566275,-0.031012999999999957,False,272
rollout_mean,act_rep,-1,0.541538,+,0.576527,-0.03498900000000005,False,272
rollout_max,xl_spread,-1,0.525919,-,0.562056,-0.036136999999999975,False,272
rollout_mean,act_dir,-1,0.520794,+,0.601862,-0.08106800000000003,False,197
