scheme,constraint,layer,auroc,sign,null_task_p95,margin_over_task_p95,clears_task_null,n_rollouts
rollout_max,emb_temp,29,0.703156,-,0.590499,0.11265700000000001,True,300
rollout_mean,xl_adj,16,0.672126,+,0.571452,0.10067400000000004,True,300
rollout_max,xl_final,1,0.687257,-,0.597634,0.08962300000000001,True,300
B,xl_adj,16,0.65189,+,0.562869,0.08902100000000002,True,300
rollout_max,xl_adj,28,0.736395,-,0.659787,0.07660800000000001,True,300
A,xl_adj,16,0.598253,+,0.537221,0.061032000000000086,True,300
rollout_max,act_mag,-1,0.620875,-,0.560835,0.06003999999999998,True,300
rollout_mean,xl_final,28,0.707094,-,0.652433,0.05466099999999996,True,300
B,xl_final,28,0.677778,-,0.634377,0.04340100000000002,True,300
A,emb_temp,29,0.579891,-,0.537084,0.04280700000000004,True,300
A,xl_final,11,0.587617,-,0.545008,0.0426089999999999,True,300
A,act_mag,-1,0.549101,-,0.523774,0.02532699999999999,True,300
rollout_mean,emb_temp,28,0.585955,-,0.563622,0.022333000000000047,True,300
A,act_rep,-1,0.539728,+,0.518394,0.021333999999999964,True,300
rollout_mean,act_mag,-1,0.58096,-,0.570577,0.010383000000000031,True,300
A,act_dir,-1,0.520522,+,0.512733,0.007789000000000046,True,299
B,emb_temp,28,0.55354,-,0.548843,0.004697000000000062,True,300
A,xl_final_hN,15,0.567973,-,0.565867,0.0021059999999999413,True,300
rollout_max,act_rep,-1,0.5,+,0.5,0.0,False,300
A,t,-1,0.5,+,0.5,0.0,False,300
B,t,-1,0.5,+,0.5,0.0,False,300
rollout_max,t,-1,0.5,+,0.5,0.0,False,300
rollout_mean,t,-1,0.5,+,0.5,0.0,False,300
A,t_norm,-1,0.5,+,0.5,0.0,False,300
B,t_norm,-1,0.5,+,0.5,0.0,False,300
rollout_max,t_norm,-1,0.5,+,0.5,0.0,False,300
rollout_mean,t_norm,-1,0.5,+,0.5,0.0,False,300
A,grip_flip,-1,0.503232,+,0.504926,-0.0016939999999999733,False,300
A,xl_spread,-1,0.552322,-,0.560719,-0.008396999999999988,False,300
B,grip_flip,-1,0.500504,-,0.509798,-0.009294000000000024,False,300
rollout_max,xl_final_hN,15,0.598107,-,0.608622,-0.010514999999999941,False,300
rollout_max,act_dir,-1,0.502059,+,0.513523,-0.011463999999999919,False,221
B,act_mag,-1,0.528575,-,0.540845,-0.012270000000000003,False,300
B,act_rep,-1,0.520062,+,0.538547,-0.018484999999999974,False,300
rollout_max,grip_flip,-1,0.537082,-,0.556583,-0.0195010000000001,False,300
B,act_dir,-1,0.502801,+,0.52492,-0.022119,False,221
rollout_max,xl_spread,-1,0.544695,-,0.575342,-0.03064699999999998,False,300
B,xl_final_hN,31,0.538683,+,0.569902,-0.031218999999999997,False,300
rollout_mean,act_rep,-1,0.535857,+,0.574795,-0.03893799999999992,False,300
rollout_mean,xl_final_hN,31,0.550747,+,0.589944,-0.03919700000000004,False,300
rollout_mean,grip_flip,-1,0.526274,-,0.567939,-0.04166499999999995,False,300
B,xl_spread,-1,0.502351,+,0.571879,-0.06952800000000003,False,300
rollout_mean,act_dir,-1,0.522217,+,0.601561,-0.07934399999999997,False,221
rollout_mean,xl_spread,-1,0.50012,-,0.589462,-0.08934200000000003,False,300
